id,slug,title,symbol,sourceKind,type,currentPrice,priceChange24h,volume24h,marketCap,lastUpdatedAt
cmmwueqxk0001uruor1lgbrlq,bitcoin-btc,Bitcoin,BTC,COINGECKO,TOKEN,71198,-4.10486,47198697477,1424433592256,Thu Mar 19 2026 10:23:01 GMT+0800 (中国标准时间)
cmmwueqxz004ruruon71uxym4,ethereum-eth,Ethereum,ETH,COINGECKO,TOKEN,2201.25,-5.59967,25385635790,265754345055,Thu Mar 19 2026 10:23:06 GMT+0800 (中国标准时间)
cmmwueqyc009huruo7oej0d0p,tether-usdt,Tether,USDT,COINGECKO,TOKEN,1,-0.01402,79311585717,184097133887,Thu Mar 19 2026 10:23:03 GMT+0800 (中国标准时间)
cmmwueqyr00e7uruoexpvb83z,xrp-xrp,XRP,XRP,COINGECKO,TOKEN,1.46,-4.04973,2872656904,89548913435,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwueqz600ixuruoe7hl89yo,bnb-bnb,BNB,BNB,COINGECKO,TOKEN,652.04,-2.87254,1237903562,88913227366,Thu Mar 19 2026 10:23:00 GMT+0800 (中国标准时间)
cmmwueqzj00nnuruoojlfvydt,usdc-usdc,USDC,USDC,COINGECKO,TOKEN,0.999858,0.00378,11209470358,79431629697,Thu Mar 19 2026 10:23:01 GMT+0800 (中国标准时间)
cmmwueqzv00sduruo758wazs7,solana-sol,Solana,SOL,COINGECKO,TOKEN,90.29,-4.80856,4073743496,51580031598,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwuer0900x3uruo1yym7gyp,tron-trx,TRON,TRX,COINGECKO,TOKEN,0.304936,-1.08412,567241453,28890603708,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwuer0p011turuo1ald2noy,figure-heloc-figr-heloc,Figure Heloc,FIGR_HELOC,COINGECKO,TOKEN,1.025,-0.63698,41738342,16241170453,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwuer13014vuruo6zq34eo2,dogecoin-doge,Dogecoin,DOGE,COINGECKO,TOKEN,0.09487,-6.11435,1499842811,14559028022,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwuer1h019luruoyba4uzfq,whitebit-coin-wbt,WhiteBIT Coin,WBT,COINGECKO,TOKEN,56.86,-2.32175,80470700,12130274035,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwuer1t01eburuool9tiodf,usds-usds,USDS,USDS,COINGECKO,TOKEN,0.999878,-0.02832,11423025,11562961626,Thu Mar 19 2026 10:23:02 GMT+0800 (中国标准时间)
cmmwuf75g01k9uruo0m88a3xf,will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,,POLYMARKET,PREDICTION_MARKET,0.095,-1.5,1290.547129,,Thu Mar 19 2026 10:23:47 GMT+0800 (中国标准时间)
cmmwuf75501k5uruobq8ytb16,will-harvey-weinstein-be-sentenced-to-less-than-5-years-in-prison,Will Harvey Weinstein be sentenced to less than 5 years in prison?,,POLYMARKET,PREDICTION_MARKET,0.122,-14.5,1275.361304,,Thu Mar 19 2026 10:22:10 GMT+0800 (中国标准时间)
cmmwuf74x01k1uruot9fjv5z6,will-harvey-weinstein-be-sentenced-to-no-prison-time,Will Harvey Weinstein be sentenced to no prison time?,,POLYMARKET,PREDICTION_MARKET,0.301,-21.7,95440.409247,,Thu Mar 19 2026 10:23:53 GMT+0800 (中国标准时间)
